Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"Antero Soriano Highway Sahud Ulan, Tanza",2.26,3.0,1.0,45.0,62.0,Sahud Ulan,Tanza,Cavite
"Camella Tarlac Access Rd. Maliwalo, Tarlac",11.76,5.0,3.0,166.0,176.0,Maliwalo,Tarlac City,Tarlac
"Sapang Biabas, Mabalacat",1.4,2.0,1.0,40.0,40.0,Sapang Biabas,Mabalacat City,Pampanga
"Tugbok, Davao",5.3,3.0,2.0,70.27,67.0,Tugbok,Davao City,Davao del Sur
"Cupang, Muntinlupa",32.34,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.39,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Pasong Camachile I, General Trias",2.39,3.0,1.0,50.0,50.0,Pasong Camachile I,General Trias,Cavite
"Aningway Sacatihan, Subic",12.77,5.0,3.0,166.0,246.0,Aningway Sacatihan,Subic,Zambales
"Palo-Alto, Calamba",3.5,,,,104.0,Palo-Alto,Calamba,Laguna
"Santo Domingo, Cainta",9.5,4.0,3.0,144.0,136.0,Santo Domingo,Cainta,Rizal
"San Vicente, Santa Maria",4.4,3.0,2.0,63.2,80.0,San Vicente,Santa Maria,Bulacan
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7.81,5.0,3.0,100.0,110.0,Maliwalo,Tarlac City,Tarlac
"Gabon, Abucay",,3.0,2.0,67.0,88.0,Gabon,Abucay,Bataan
"Zambowood Rd. Boalan, Zamboanga",3.28,2.0,1.0,40.32,78.4,Boalan,Zamboanga City,Zamboanga del Sur
"Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3.17,,,39.64,100.0,Sahud Ulan,Tanza,Cavite
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1.8,2.0,2.0,52.0,40.0,Bulac,Santa Maria,Bulacan
"Aningway Sacatihan, Subic",8.43,5.0,3.0,142.0,121.0,Aningway Sacatihan,Subic,Zambales
"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3.56,2.0,1.0,46.0,63.0,Cadlan,Pili,Camarines Sur
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.65,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Km.71, North Luzon Expressway Panipuan, Mexico",3.5,3.0,2.0,102.39,154.0,Panipuan,Mexico,Pampanga
"Tugbok, Davao",5.3,3.0,2.0,70.27,67.0,Tugbok,Davao City,Davao del Sur
"Caingin, San Rafael",1.8,2.0,1.0,46.0,41.0,Caingin,San Rafael,Bulacan
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.34,4.0,3.0,85.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Sun Valley, Paranaque",45.0,6.0,5.0,337.0,350.0,Sun Valley,Parañaque,Metro Manila
"Ungka II, Pavia",4.08,3.0,2.0,52.0,80.0,Ungka II,Pavia,Iloilo
"Alapan II-A, Imus",3.34,4.0,2.0,70.0,60.0,Alapan II-A,Imus,Cavite
"Aningway Sacatihan, Subic",10.08,5.0,3.0,142.0,176.0,Aningway Sacatihan,Subic,Zambales
"Caingin, San Rafael",1.8,2.0,1.0,46.0,41.0,Caingin,San Rafael,Bulacan
"Bugtong Na Pulo, Lipa",7.5,4.0,3.0,119.0,150.0,Bugtong na Pulo,Lipa City,Batangas
"Pasong Camachile I, General Trias",2.29,3.0,1.0,40.0,40.0,Pasong Camachile I,General Trias,Cavite
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.25,2.0,2.0,53.0,88.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",11.76,5.0,3.0,166.0,176.0,Maliwalo,Tarlac City,Tarlac
"Antero Soriano Highway Sahud Ulan, Tanza",2.26,3.0,1.0,45.0,62.0,Sahud Ulan,Tanza,Cavite
"Sapang Biabas, Mabalacat",1.4,2.0,1.0,40.0,40.0,Sapang Biabas,Mabalacat City,Pampanga
"Tugbok, Davao",5.3,3.0,2.0,70.27,67.0,Tugbok,Davao City,Davao del Sur
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.39,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Cupang, Muntinlupa",32.34,3.0,3.0,247.4,93.0,Cupang,Muntinlupa City,Metro Manila
"Pasong Camachile I, General Trias",2.39,3.0,1.0,50.0,50.0,Pasong Camachile I,General Trias,Cavite
"Palo-Alto, Calamba",3.5,,,,104.0,Palo-Alto,Calamba,Laguna
"Palo-Alto, Calamba",3.5,,,,104.0,Palo-Alto,Calamba,Laguna
"Carsadang Bago I, Imus",5.23,3.0,2.0,75.0,112.0,Carsadang Bago I,Imus,Cavite
"San Antonio, Makati",125.0,12.0,8.0,500.0,1032.0,San Antonio,Makati City,Metro Manila
"Longos, Malolos",12.07,5.0,3.0,142.0,176.0,Longos,Malolos,Bulacan
"Aguinaldo Highway San Agustin I, Dasmarinas",3.27,2.0,2.0,76.18,66.0,San Agustin I,Dasmariñas,Cavite
"Alapan II-A, Imus",2.29,3.0,1.0,40.0,40.0,Alapan II-A,Imus,Cavite
"Longos, Malolos",12.9,5.0,3.0,166.0,176.0,Longos,Malolos,Bulacan
"Ungka II, Pavia",6.38,4.0,3.0,100.0,120.0,Ungka II,Pavia,Iloilo
"San Rafael Estates San Roque, San Rafael",1.98,2.0,1.0,38.88,41.4,San Roque,San Rafael,Bulacan
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1.68,1.0,1.0,44.0,40.0,Bulac,Santa Maria,Bulacan
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1.68,1.0,1.0,44.0,40.0,Bulac,Santa Maria,Bulacan
"President Jose P. Laurel Hwy Banaybanay II, San Jose",7.4,3.0,3.0,125.0,,Banaybanay II,San Jose,Batangas
"Aningway Sacatihan, Subic",2.6,2.0,1.0,42.0,54.0,Aningway Sacatihan,Subic,Zambales
"Tamiao, Compostela",7.02,4.0,2.0,82.0,120.0,Tamiao,Compostela,Cebu
"Km.71, North Luzon Expressway Panipuan, Mexico",2.75,3.0,2.0,78.54,154.0,Panipuan,Mexico,Pampanga
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.18,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Longos, Malolos",7.8,4.0,3.0,85.0,110.0,Longos,Malolos,Bulacan
"Tamiao, Compostela",6.13,2.0,1.0,,,Tamiao,Compostela,Cebu
"San Sebastian, Kawit",6.76,4.0,3.0,110.0,100.0,San Sebastian,Kawit,Cavite
"San Jose, Lipa",8.05,2.0,2.0,48.0,50.0,,San Jose,Batangas
"Sapang Biabas, Mabalacat",2.71,3.0,2.0,62.0,65.0,Sapang Biabas,Mabalacat City,Pampanga
"Alapan II-A, Imus",2.39,3.0,1.0,50.0,50.0,Alapan II-A,Imus,Cavite
"Victoria South Alabang Tunasan, Muntinlupa",13.5,3.0,2.0,140.0,240.0,Alabang,Muntinlupa,Metro Manila
"Pasong Camachile I, General Trias",7.41,4.0,3.0,100.0,120.0,Pasong Camachile I,General Trias,Cavite
"Lot 14 Block 26 J Abad Santos Street Northfields Executive Village Phase 1 Barangay Longos Malolos Bulacan Longos, Malolos",5.9,3.0,6.0,232.89,200.0,Longos,Malolos,Bulacan
"Eden, Mexico",4.11,3.0,2.0,72.0,88.0,Eden,Mexico,Pampanga
"Km. 19 West Service Rd. Cupang, Muntinlupa",31.71,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1.68,1.0,1.0,44.0,40.0,Bulac,Santa Maria,Bulacan
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.8,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Alapan II-A, Imus",6.65,3.0,2.0,84.0,120.0,Alapan II-A,Imus,Cavite
"Caingin, San Rafael",1.8,2.0,1.0,46.0,41.0,Caingin,San Rafael,Bulacan
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.68,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Km.71, North Luzon Expressway Panipuan, Mexico",1.84,2.0,2.0,52.5,154.0,Panipuan,Mexico,Pampanga
"Km. 19 West Service Rd. Cupang, Muntinlupa",27.68,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Bugtong Na Pulo, Lipa",4.0,2.0,1.0,53.0,52.0,Bugtong na Pulo,Lipa City,Batangas
"Tamiao, Compostela",5.58,1.0,1.0,,,Tamiao,Compostela,Cebu
"Alapan II-A, Imus",2.63,3.0,2.0,60.0,50.0,Alapan II-A,Imus,Cavite
"Ungka II, Pavia",5.34,4.0,2.0,80.0,120.0,Ungka II,Pavia,Iloilo
"San Sebastian, Kawit",2.29,3.0,1.0,40.0,40.0,San Sebastian,Kawit,Cavite
"Governor's Dr. Tanauan, Tanza",4.34,3.0,2.0,112.5,72.0,Tanauan,Tanza,Cavite
"Governor's Dr. Tanauan, Tanza",4.34,3.0,2.0,112.5,72.0,Tanauan,Tanza,Cavite
"Cay Pombo, Santa Maria",2.18,2.0,1.0,44.0,36.0,Cay Pombo,Santa Maria,Bulacan
"Tugbok, Davao",3.6,2.0,2.0,48.26,50.0,Tugbok,Davao City,Davao del Sur
"Antero Soriano Highway Sahud Ulan, Tanza",2.84,3.0,1.0,45.0,62.0,Sahud Ulan,Tanza,Cavite
"Pasong Camachile I, General Trias",2.63,3.0,2.0,60.0,50.0,Pasong Camachile I,General Trias,Cavite
"San Rafael, Mexico",1.84,2.0,2.0,52.5,,San Rafael,Mexico,Pampanga
"San Sebastian, Kawit",3.34,4.0,2.0,70.0,60.0,San Sebastian,Kawit,Cavite
"Km.71, North Luzon Expressway Panipuan, Mexico",2.71,3.0,2.0,77.31,154.0,Panipuan,Mexico,Pampanga
"Sapang Biabas, Mabalacat",1.4,2.0,1.0,40.0,40.0,Sapang Biabas,Mabalacat City,Pampanga
"Buhangin, Davao",21.5,5.0,4.0,300.0,200.0,Buhangin,Davao City,Davao del Sur
"Alapan II-A, Imus",5.28,3.0,2.0,80.0,92.0,Alapan II-A,Imus,Cavite
"Talaga, Capas",2.35,,2.0,49.0,50.0,Talaga,Capas,Tarlac
"Valle Cruz, Cabanatuan",5.38,3.0,2.0,80.0,203.0,Valle Cruz,Cabanatuan City,Nueva Ecija
"Antero Soriano Highway Sahud Ulan, Tanza",2.26,3.0,1.0,45.0,62.0,Sahud Ulan,Tanza,Cavite
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5.99,3.0,2.0,66.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Tugbok, Davao",3.6,2.0,2.0,48.26,50.0,Tugbok,Davao City,Davao del Sur
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2.97,2.0,1.0,40.0,36.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Sapang Biabas, Mabalacat",1.4,2.0,1.0,40.0,40.0,Sapang Biabas,Mabalacat City,Pampanga
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.32,4.0,3.0,83.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Eden, Mexico",5.28,4.0,3.0,91.0,143.0,Eden,Mexico,Pampanga
"Eden, Mexico",3.97,2.0,2.0,59.0,88.0,Eden,Mexico,Pampanga
"Santa Maria, Mabalacat",1.98,2.0,1.0,40.39,43.2,Santa Maria,Mabalacat City,Pampanga
"The Wood Estates, Brgy. Hugo Perez, Trece Martires",3.15,2.0,1.0,37.3,70.0,Perez (Lucbanan),Trece Martires City,Cavite
"Aningway Sacatihan, Subic",8.43,5.0,3.0,100.0,158.0,Aningway Sacatihan,Subic,Zambales
"Eden, Mexico",3.98,2.0,2.0,59.0,88.0,Eden,Mexico,Pampanga
"Alapan II-A, Imus",5.98,3.0,3.0,90.0,100.0,Alapan II-A,Imus,Cavite
"Sapang Biabas, Mabalacat",2.71,3.0,2.0,62.0,65.0,Sapang Biabas,Mabalacat City,Pampanga
"Aningway Sacatihan, Subic",10.5,4.0,3.0,83.0,217.0,Aningway Sacatihan,Subic,Zambales
"Pasong Camachile I, General Trias",6.65,3.0,2.0,84.0,120.0,Pasong Camachile I,General Trias,Cavite
"Pasong Camachile I, General Trias",5.98,3.0,3.0,90.0,100.0,Pasong Camachile I,General Trias,Cavite
"San Rafael, Mexico",2.71,3.0,2.0,77.31,,San Rafael,Mexico,Pampanga
"Carsadang Bago I, Imus",5.23,3.0,2.0,75.0,112.0,Carsadang Bago I,Imus,Cavite
"Camella Tarlac Access Rd. Maliwalo, Tarlac",10.75,5.0,3.0,166.0,143.0,Maliwalo,Tarlac City,Tarlac
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.36,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Longos, Malolos",3.02,2.0,1.0,36.0,42.0,Longos,Malolos,Bulacan
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.35,3.0,3.0,219.3,105.0,Cupang,Muntinlupa,Metro Manila
"Aguinaldo Highway San Agustin I, Dasmarinas",9.5,4.0,4.0,132.0,66.0,San Agustin I,Dasmariñas,Cavite
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.7,2.0,2.0,53.0,99.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.17,2.0,1.0,46.0,96.0,Maliwalo,Tarlac City,Tarlac
"Aningway Sacatihan, Subic",2.34,1.0,1.0,33.0,70.0,Aningway Sacatihan,Subic,Zambales
"Longos, Malolos",10.41,3.0,2.0,76.0,128.0,Longos,Malolos,Bulacan
"Longos, Malolos",5.18,2.0,1.0,46.0,60.0,Longos,Malolos,Bulacan
"Longos, Malolos",6.0,2.0,2.0,53.0,88.0,Longos,Malolos,Bulacan
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.2,3.0,2.0,66.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.45,2.0,1.0,40.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.46,2.0,1.0,46.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8.91,3.0,2.0,66.0,121.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.27,2.0,1.0,46.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.26,2.0,1.0,40.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.5,4.0,3.0,83.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8.91,3.0,2.0,66.0,121.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.46,2.0,1.0,46.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.45,2.0,1.0,40.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.17,2.0,1.0,46.0,96.0,Maliwalo,Tarlac City,Tarlac
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.63,2.0,1.0,46.0,60.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.39,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Divisoria, Mexico",4.71,2.0,2.0,72.0,121.0,Divisoria,Mexico,Pampanga
"Purok Hurtado Concepcion, Koronadal",2.68,2.0,1.0,40.31,50.4,Concepcion (Bo. 6),Koronadal,South Cotabato
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.35,3.0,3.0,219.3,105.0,Cupang,Muntinlupa,Metro Manila
"MacArthur Hwy Anonas, Urdaneta",6.29,3.0,2.0,66.0,110.0,Anonas,Urdaneta,Pangasinan
"San Rafael, Tarlac",4.22,,,169.0,180.0,San Rafael,Tarlac City,Tarlac
"Aningway Sacatihan, Subic",6.81,3.0,2.0,66.0,146.0,Aningway Sacatihan,Subic,Zambales
"Alapan II-A, Imus",6.76,4.0,3.0,110.0,100.0,Alapan II-A,Imus,Cavite
"Divisoria, Mexico",1.64,1.0,1.0,78.7,,Divisoria,Mexico,Pampanga
"Km. 19 West Service Rd. Cupang, Muntinlupa",33.79,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.39,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"San Jose, Antipolo",5.7,4.0,3.0,90.0,78.0,San Jose,Antipolo,Rizal
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.35,3.0,3.0,219.3,105.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.78,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.87,2.0,1.0,50.0,88.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",6.32,3.0,2.0,66.0,99.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.32,2.0,1.0,46.0,72.0,Maliwalo,Tarlac City,Tarlac
"Aningway Sacatihan, Subic",7.91,3.0,2.0,66.0,150.0,Aningway Sacatihan,Subic,Zambales
"Aningway Sacatihan, Subic",7.42,5.0,3.0,100.0,121.0,Aningway Sacatihan,Subic,Zambales
"Aningway Sacatihan, Subic",6.09,4.0,3.0,83.0,99.0,Aningway Sacatihan,Subic,Zambales
"Aguinaldo Highway San Agustin I, Dasmarinas",9.5,4.0,4.0,132.0,66.0,San Agustin I,Dasmariñas,Cavite
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.57,3.0,3.0,219.3,103.0,Cupang,Muntinlupa,Metro Manila
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.78,3.0,2.0,66.0,88.0,Maliwalo,Tarlac City,Tarlac
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.36,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Divisoria, Mexico",3.19,3.0,2.0,60.0,80.0,Divisoria,Mexico,Pampanga
"Aningway Sacatihan, Subic",8.28,3.0,2.0,66.0,162.0,Aningway Sacatihan,Subic,Zambales
"Camella Prima Butuan, Barangay Ampayon, Butuan City Ampayon, Butuan",4.48,2.0,1.0,40.0,88.0,Ampayon,Butuan City,Agusan del Norte
"Sapang Biabas, Mabalacat",2.22,2.0,1.0,50.0,65.0,Sapang Biabas,Mabalacat City,Pampanga
"Cupang, Muntinlupa",31.35,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",9.58,5.0,3.0,142.0,132.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.62,5.0,3.0,100.0,110.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.38,2.0,1.0,40.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"B.F. Homes, Paranaque",31.8,4.0,5.0,,308.0,B. F. Homes,Parañaque,Metro Manila
"Aningway Sacatihan, Subic",7.34,4.0,3.0,83.0,146.0,Aningway Sacatihan,Subic,Zambales
"Mining, Angeles",8.0,3.0,2.0,84.0,84.0,Mining,Angeles,Pampanga
"Km. 19 West Service Rd. Cupang, Muntinlupa",34.02,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"San Sebastian, Kawit",2.39,3.0,1.0,50.0,50.0,San Sebastian,Kawit,Cavite
"Bugtong Na Pulo, Lipa",4.93,3.0,1.0,65.0,116.0,Bugtong na Pulo,Lipa City,Batangas
"Bugtong Na Pulo, Lipa",4.01,2.0,1.0,53.0,52.0,Bugtong na Pulo,Lipa City,Batangas
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10.96,5.0,3.0,166.0,143.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8.69,4.0,3.0,85.0,141.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3.23,2.0,1.0,36.0,65.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5.77,2.0,2.0,53.0,89.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8.73,5.0,3.0,142.0,121.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10.86,4.0,3.0,85.0,204.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2.79,2.0,1.0,36.0,42.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3.31,2.0,1.0,36.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.65,3.0,2.0,66.0,110.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5.08,2.0,2.0,53.0,88.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2.7,2.0,1.0,36.0,40.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10.69,5.0,3.0,97.0,121.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.26,2.0,1.0,40.0,60.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Aguinaldo Highway San Agustin I, Dasmarinas",9.5,4.0,4.0,132.0,66.0,San Agustin I,Dasmariñas,Cavite
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.09,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Tamiao, Compostela",7.02,4.0,2.0,82.0,120.0,Tamiao,Compostela,Cebu
"Talaga, Capas",3.57,,2.0,66.0,80.0,Talaga,Capas,Tarlac
"Caysio Rd. Caysio, Santa Maria",5.18,3.0,2.0,75.26,80.0,Caysio,Santa Maria,Bulacan
"Longos, Malolos",6.92,3.0,2.0,66.0,99.0,Longos,Malolos,Bulacan
"Antero Soriano Highway Sahud Ulan, Tanza",2.84,3.0,1.0,45.0,62.0,Sahud Ulan,Tanza,Cavite
"Cupang, Muntinlupa",43.0,4.0,3.0,400.0,350.0,Cupang,Muntinlupa,Metro Manila
"DAANG HARI ALABANG Poblacion, Muntinlupa",13.0,4.0,2.0,219.0,120.0,Poblacion,Muntinlupa,Metro Manila
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3.3,2.0,1.0,40.0,42.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Tamiao, Compostela",4.39,2.0,2.0,53.0,70.0,Tamiao,Compostela,Cebu
"Camella Tarlac Access Rd. Maliwalo, Tarlac",11.24,5.0,3.0,142.0,176.0,Maliwalo,Tarlac City,Tarlac
"Pasong Camachile I, General Trias",5.28,3.0,2.0,80.0,92.0,Pasong Camachile I,General Trias,Cavite
"Longos, Malolos",6.75,3.0,2.0,66.0,99.0,Longos,Malolos,Bulacan
"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan I, Dasmarinas",10.75,3.0,3.0,115.0,121.0,Paliparan I,Dasmariñas,Cavite
"Ungka II, Pavia",3.2,3.0,2.0,60.0,100.0,Ungka II,Pavia,Iloilo
"Pueblo Solana in Ciudad de Calamba Bubuyan, Calamba",4.68,2.0,1.0,62.8,88.0,Calamba Laguna,Calamba,Laguna
"Km. 19 West Service Rd. Cupang, Muntinlupa",27.09,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"MacArthur Hwy Anonas, Urdaneta",8.24,3.0,2.0,66.0,141.0,Anonas,Urdaneta,Pangasinan
"Manna East Dalig, Teresa",4.47,2.0,1.0,40.31,85.0,Manna East Dalig,Teresa,Rizal
"San Sebastian, Kawit",5.69,3.0,2.0,72.0,100.0,San Sebastian,Kawit,Cavite
"Tamiao, Compostela",6.03,1.0,1.0,,,Tamiao,Compostela,Cebu
